temperature,city,pressure,date
5.81,Berlin,1012,2023-11-18 13:14
5.81,Berlin,1012,2023-11-18 13:13
5.81,Berlin,1012,2023-11-18 13:12
5.81,Berlin,1012,2023-11-18 13:11
5.81,Berlin,1012,2023-11-18 13:10
5.81,Berlin,1012,2023-11-18 13:09
5.81,Berlin,1012,2023-11-18 13:08
5.81,Berlin,1012,2023-11-18 13:07
5.81,Berlin,1012,2023-11-18 13:06
5.85,Berlin,1013,2023-11-18 13:05
5.85,Berlin,1013,2023-11-18 13:04
5.85,Berlin,1013,2023-11-18 13:03
5.85,Berlin,1013,2023-11-18 13:02
5.85,Berlin,1013,2023-11-18 13:01
5.85,Berlin,1013,2023-11-18 12:59
5.85,Berlin,1013,2023-11-18 12:58
5.85,Berlin,1013,2023-11-18 12:57
5.85,Berlin,1013,2023-11-18 12:56
5.85,Berlin,1013,2023-11-18 12:55
5.93,Berlin,1013,2023-11-18 12:54
14.72,London,1007,2023-11-18 13:14
14.72,London,1007,2023-11-18 13:13
14.72,London,1007,2023-11-18 13:12
14.72,London,1007,2023-11-18 13:11
14.72,London,1007,2023-11-18 13:10
14.7,London,1007,2023-11-18 13:09
14.7,London,1007,2023-11-18 13:08
14.7,London,1007,2023-11-18 13:07
14.7,London,1007,2023-11-18 13:06
14.7,London,1007,2023-11-18 13:05
14.7,London,1007,2023-11-18 13:04
14.7,London,1007,2023-11-18 13:03
14.7,London,1007,2023-11-18 13:02
14.7,London,1007,2023-11-18 13:01
14.7,London,1007,2023-11-18 12:59
14.71,London,1007,2023-11-18 12:58
14.71,London,1007,2023-11-18 12:57
14.71,London,1007,2023-11-18 12:56
14.71,London,1007,2023-11-18 12:55
14.71,London,1007,2023-11-18 12:54
11.38,Paris,1018,2023-11-18 13:14
11.38,Paris,1018,2023-11-18 13:13
11.38,Paris,1018,2023-11-18 13:12
11.38,Paris,1018,2023-11-18 13:11
11.38,Paris,1018,2023-11-18 13:10
11.38,Paris,1018,2023-11-18 13:09
11.38,Paris,1018,2023-11-18 13:08
11.38,Paris,1018,2023-11-18 13:07
11.37,Paris,1018,2023-11-18 13:06
11.37,Paris,1018,2023-11-18 13:05
11.37,Paris,1018,2023-11-18 13:04
11.37,Paris,1018,2023-11-18 13:03
11.37,Paris,1018,2023-11-18 13:02
11.37,Paris,1018,2023-11-18 13:01
11.37,Paris,1018,2023-11-18 12:59
11.37,Paris,1018,2023-11-18 12:58
11.37,Paris,1018,2023-11-18 12:57
11.27,Paris,1018,2023-11-18 12:56
11.27,Paris,1018,2023-11-18 12:55
11.27,Paris,1018,2023-11-18 12:54
